Airport name,Year,January,February,March,April,May,June,July,August,September,October,November,December,Whole year
Voronezh (Chertovitskoe),2020,51220,48198,0,0,0,0,0,0,0,0,0,0,99418
Gelendzhik,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorno-Altaisk,2020,6581,6723,0,0,0,0,0,0,0,0,0,0,13304
Terrible (North),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
deputy,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Dixon,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekaterinburg (Koltsovo),2020,420348,360961,0,0,0,0,0,0,0,0,0,0,781309
Pitorafik,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Erbogaçen,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Jigansk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Zhukovsky,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulf Lawrence (Lawrence),2020,328,338,0,0,0,0,0,0,0,0,0,0,666
Zeyskaya,2020,93,73,0,0,0,0,0,0,0,0,0,0,166
Zыrjanka,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivanovo (Yuzhny),2020,2269,2224,0,0,0,0,0,0,0,0,0,0,4493
Igarka,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Izhevsk,2020,29312,28883,0,0,0,0,0,0,0,0,0,0,58195
Izhma,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiga,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Inta,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoshkar-Ola,2020,1804,1744,0,0,0,0,0,0,0,0,0,0,3548
Irkutsk,2020,196554,172959,0,0,0,0,0,0,0,0,0,0,369513
Kazan,2020,226985,207705,0,0,0,0,0,0,0,0,0,0,434690
Kaliningrad (Hrabrovo),2020,172858,154796,0,0,0,0,0,0,0,0,0,0,327654
Kaluga (Grabtsevo),2020,9885,8202,0,0,0,0,0,0,0,0,0,0,18087
Karatayka,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Kemerovo,2020,37174,36388,0,0,0,0,0,0,0,0,0,0,73562
Keperveem,2020,1308,1437,0,0,0,0,0,0,0,0,0,0,2745
Ust-kut,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirov (Pobedilovo),2020,20748,17898,0,0,0,0,0,0,0,0,0,0,38646
Kogalym,2020,10055,9425,0,0,0,0,0,0,0,0,0,0,19480
Kodinsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Komsomolsk-on-Amur,2020,573,816,0,0,0,0,0,0,0,0,0,0,1389
Kondinskoye,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Kostroma,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotkin,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotlas,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Krasnodar (Paszkowski),2020,365711,330729,0,0,0,0,0,0,0,0,0,0,696440
Krasnoselkup,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Krasnoyarsk,2020,196024,181558,0,0,0,0,0,0,0,0,0,0,377582
Krasnoyarsk (Cheremshanka),2020,3468,3866,0,0,0,0,0,0,0,0,0,0,7334
Mound,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurilsk (Clear),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Kursk (Eastern),2020,4420,4436,0,0,0,0,0,0,0,0,0,0,8856
red,2020,5314,5339,0,0,0,0,0,0,0,0,0,0,10653
Labozhskoe,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Zabaykalsk,2020,2737,3101,0,0,0,0,0,0,0,0,0,0,5838
Лешуконское,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipetsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Magadan (Falcon),2020,27103,26575,0,0,0,0,0,0,0,0,0,0,53678
Magnitogorsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Mom,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Manila,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
brand,2020,129,159,0,0,0,0,0,0,0,0,0,0,288
Makhachkala (Uytash),2020,120219,104198,0,0,0,0,0,0,0,0,0,0,224417
Mezhdurechensk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Mezen,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkovo,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Mineral water,2020,194038,176489,0,0,0,0,0,0,0,0,0,0,370527
Peaceful,2020,27302,23348,0,0,0,0,0,0,0,0,0,0,50650
Moscow (Vnukovo),2020,1650445,1465291,0,0,0,0,0,0,0,0,0,0,3115736
Moscow (Domodedovo),2020,2099024,1860818,0,0,0,0,0,0,0,0,0,0,3959842
Moscow (Ostafyevo),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Moscow (Sheremetyevo),2020,3366567,3098337,0,0,0,0,0,0,0,0,0,0,6464904
Мотыгино,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Murmansk,2020,98066,84717,0,0,0,0,0,0,0,0,0,0,182783
Cape-Stone,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Nadym,2020,16076,14927,0,0,0,0,0,0,0,0,0,0,31003
Nazran (Magas),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Nalchik,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Naryan-Mar,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelkan,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Nerungri (Chulman),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Nes,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Nižneangarsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Nizhnevartovsk,2020,53775,49083,0,0,0,0,0,0,0,0,0,0,102858
Nizhny Novgorod (Strigino),2020,64085,58831,0,0,0,0,0,0,0,0,0,0,122916
lower Pesha,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikolaevsk-on-Amur,2020,3141,3447,0,0,0,0,0,0,0,0,0,0,6588
Nikolskoye,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Novokuznetsk (Spichenkovo),2020,21709,21524,0,0,0,0,0,0,0,0,0,0,43233
Novosibirsk (Tolmachyovo),2020,516162,458432,0,0,0,0,0,0,0,0,0,0,974594
New Urengoy,2020,77758,71281,0,0,0,0,0,0,0,0,0,0,149039
Nogliki,2020,3121,3473,0,0,0,0,0,0,0,0,0,0,6594
Norilsk,2020,35028,28081,0,0,0,0,0,0,0,0,0,0,63109
Noyabrsk,2020,19086,17089,0,0,0,0,0,0,0,0,0,0,36175
Нюрба,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyagan,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Luengo,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Olekminsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
SUV,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
ohm,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Omolon,2020,65,85,0,0,0,0,0,0,0,0,0,0,150
Omsk (central),2020,101744,92466,0,0,0,0,0,0,0,0,0,0,194210
Omsukçan,2020,444,411,0,0,0,0,0,0,0,0,0,0,855
Orenburg (central),2020,53242,48524,0,0,0,0,0,0,0,0,0,0,101766
Ossora,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Okha,2020,2657,3229,0,0,0,0,0,0,0,0,0,0,5886
Okhotsk,2020,1910,2104,0,0,0,0,0,0,0,0,0,0,4014
Palana,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Pahachi,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Pevek,2020,1653,2103,0,0,0,0,0,0,0,0,0,0,3756
Penza,2020,13381,13702,0,0,0,0,0,0,0,0,0,0,27083
Perm (Bolshoye Savino),2020,98582,95138,0,0,0,0,0,0,0,0,0,0,193720
Petrozavodsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Petropavlovsk (Yelizovo),2020,43292,38991,0,0,0,0,0,0,0,0,0,0,82283
Pechora,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
pioneer,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Plast,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Podkamyennaya Tunguska,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Pauline Osipenko,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Polar,2020,4742,3848,0,0,0,0,0,0,0,0,0,0,8590
Providence (Providence Harbor),2020,202,399,0,0,0,0,0,0,0,0,0,0,601
Pskov (crosses),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabetta,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Sakkırır,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Salekhard,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Samara (Kurumoch),2020,199870,180357,0,0,0,0,0,0,0,0,0,0,380227
Sangar,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Petersburg (Pulkovo),2020,1328413,1173724,0,0,0,0,0,0,0,0,0,0,2502137
Saransk,2020,3874,3655,0,0,0,0,0,0,0,0,0,0,7529
Saratov (Gagarin),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Saskılah,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Svetlogorsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
North-Yenisei,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
North Even,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Seymçan,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Simferopol,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
sheaf,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Sobolevo,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Sovetskaya Gavan,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Soviet,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Solovki,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Sochi,2020,461551,465792,0,0,0,0,0,0,0,0,0,0,927343
Среднеколымск,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Stavropol (Shpakovskoye),2020,27132,27140,0,0,0,0,0,0,0,0,0,0,54272
Stary Oskol,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Strezhevoy,2020,2759,5718,0,0,0,0,0,0,0,0,0,0,8477
Samsearn,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Surgut,2020,144627,133801,0,0,0,0,0,0,0,0,0,0,278428
Syktyvkar,2020,32718,31569,0,0,0,0,0,0,0,0,0,0,64287
Taz,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Таксимо,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Talakan,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Tambov,2020,402,706,0,0,0,0,0,0,0,0,0,0,1108
Tarko-Sale,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigil,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiksi,2020,809,767,0,0,0,0,0,0,0,0,0,0,1576
Tilichiki,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Tobolsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Tolka,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomsk (Bogashevo),2020,45396,42924,0,0,0,0,0,0,0,0,0,0,88320
Tugur,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Travel (Mountain),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Turukhansk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Tsilma,2020,76,108,0,0,0,0,0,0,0,0,0,0,184
Tyumen (Plekhanovo),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyumen (Roschino),2020,143845,137226,0,0,0,0,0,0,0,0,0,0,281071
Uda,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulan Ude (Mukhino),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulyanovsk (Barataevka),2020,27382,25217,0,0,0,0,0,0,0,0,0,0,52599
Ulyanovsk (East),2020,0,7,0,0,0,0,0,0,0,0,0,0,7
Nyagan,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Flora,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Urengoy,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Usinsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Kamchatsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Kara,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Kuyga,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Kut,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Maya,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Nera,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Khairyuzovo,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Tsilma,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Ufa,2020,274972,252985,0,0,0,0,0,0,0,0,0,0,527957
Ukhta,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Khabarovsk (MVL),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Khabarovsk (New),2020,146383,134614,0,0,0,0,0,0,0,0,0,0,280997
royal,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Khanty-Mansiysk,2020,30348,29612,0,0,0,0,0,0,0,0,0,0,59960
Harwell,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Khatanga,2020,1155,816,0,0,0,0,0,0,0,0,0,0,1971
Herpuchi,2020,77,76,0,0,0,0,0,0,0,0,0,0,153
Honuu (Girl),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Khorey Vere,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
remedy,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheboksary,2020,30366,29753,0,0,0,0,0,0,0,0,0,0,60119
Chyegdomyn,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelyabinsk (Balandino),2020,127455,120116,0,0,0,0,0,0,0,0,0,0,247571
Cherepovets,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherskiy,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Chizha,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Reads (tub),2020,32552,29340,0,0,0,0,0,0,0,0,0,0,61892
Çokurdah,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Çumikan,2020,252,249,0,0,0,0,0,0,0,0,0,0,501
Shakhtars'k,2020,167,105,0,0,0,0,0,0,0,0,0,0,272
Şoyna,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Shushenskoe,2020,36,26,0,0,0,0,0,0,0,0,0,0,62
Egvekinot (Bay Cross),2020,349,410,0,0,0,0,0,0,0,0,0,0,759
Ekimçan,2020,21,19,0,0,0,0,0,0,0,0,0,0,40
Elista,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
South kurilsk (Mendeleevo),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuzhno-(Khomutovo),2020,82774,79962,0,0,0,0,0,0,0,0,0,0,162736
Yakutsk,2020,58549,53765,0,0,0,0,0,0,0,0,0,0,112314
Yakutsk (Magan),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Yamburg,2020,5437,5401,0,0,0,0,0,0,0,0,0,0,10838
Yaroslavl (Tunoshna),2020,3638,3444,0,0,0,0,0,0,0,0,0,0,7082
Yartsevo,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Abakan,2019,12571,11563,12427,13023,16641,22758,27883,27391,19478,16155,14745,17694,212329
Aikhal,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Loss,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Amderma,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Anadyr (Carbon),2019,3785,3916,5061,7169,8601,10464,13569,13429,11190,8370,7144,8427,101125
Anapa (Vitjazevo),2019,52526,42294,55115,59989,93349,259787,328287,345629,226477,73539,51820,144437,1733249
Apatite (Khibiny),2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangelsk (Vaskovo),2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangelsk (Talagy),2019,60528,53932,64110,70235,80177,91882,100833,102409,84441,71691,74218,77678,932134
Astrakhan (Narimanovo),2019,41114,39174,45243,53806,61787,57785,64972,67742,72390,67318,51527,56623,679481
Trip,2019,107,131,212,185,149,299,310,311,316,235,218,225,2698
Baykit,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnaul (Titov Name),2019,37798,32395,36497,32040,42065,52247,61579,64426,48173,41638,35150,44001,528009
In Salah,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
white Mountain,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgorod,2019,18809,17591,23221,30448,45872,55952,57922,58609,55720,43963,32577,40062,480746
Novy Urengoy,2019,4081,3636,4891,6674,6319,6364,7014,7258,5805,6038,6899,5907,70886
Belushi,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Usinsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beringovsky (Branch PCF ""A / P Chukotka"")",2019,23,65,49,109,164,272,370,402,219,275,333,207,2488
Blagoveshchensk (Ignatevo),2019,35736,32902,37492,38701,42689,48502,56433,59256,54598,50464,47072,45804,549649
Bovanenkovo,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogorodskoe,2019,209,194,230,211,147,150,206,226,197,145,207,193,2315
Bodaybo,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Bratsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryansk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Bugulma,2019,2824,3427,3945,3734,4418,3970,3682,3684,3549,4125,4033,3763,45154
Vanavara,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Varandey,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Верхневилюйск,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Vizhas,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Viljujsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladivostok (Knevichi),2019,200824,192686,214262,216411,248751,276740,335918,365140,302346,283536,223592,260019,3120225
Vladikavkaz (Beslan),2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladimir,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Volgograd (Gumrak),2019,84442,78224,92919,99022,109265,114718,123253,122807,111189,105870,87428,102649,1231786
Vologda,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Volokovaya,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Vorkuta,2019,1268,1221,1410,1188,1503,1966,2169,2411,1622,946,1118,1529,18351
Voronezh (Chertovitskoe),2019,45486,43981,50712,57390,80879,92276,97587,101244,92382,79300,57866,72646,871749
Gelendzhik,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorno-Altaisk,2019,2792,2766,3519,4047,7115,11484,16440,17131,13332,8714,7293,8603,103236
Terrible (North),2019,0,0,0,0,0,0,0,0,0,0,0,0,0
deputy,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Dixon,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekaterinburg (Koltsovo),2019,407644,363738,444428,452243,522244,612407,685368,691949,633417,549607,436987,527276,6327308
Pitorafik,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Erbogaçen,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Jigansk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Zhukovsky,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulf Lawrence (Lawrence),2019,259,206,431,571,685,985,1020,1011,809,510,411,627,7525
Zeyskaya,2019,231,67,73,145,165,286,558,287,181,221,181,218,2613
Zыrjanka,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivanovo (Yuzhny),2019,1614,1589,1674,1754,2092,4741,6582,6832,4998,2072,2022,3270,39240
Igarka,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Izhevsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Izhma,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiga,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Inta,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoshkar-Ola,2019,38,32,33,51,40,40,442,1288,1158,1257,1125,500,6004
Irkutsk,2019,175166,168698,188144,159775,175495,221154,271463,278474,229620,192907,180789,203790,2445475
Kaliningrad (Hrabrovo),2019,149074,124194,162732,189284,221050,222213,263190,271994,222790,199406,176074,200182,2402183
Kaluga (Grabtsevo),2019,3670,3328,4052,8863,13071,12824,15713,14165,13142,13142,8732,10064,120766
Karatayka,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Kemerovo,2019,39124,32452,37645,34859,42709,50638,53175,53958,48088,43418,37886,43087,517039
Keperveem,2019,1104,1257,1448,2146,1911,2147,2490,2415,2203,2593,1987,1973,23674
Ust-kut,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirov (Pobedilovo),2019,16988,16221,17370,16998,17683,22397,25525,25568,22081,19258,20424,20047,240560
Kogalym,2019,9637,9173,9876,10108,12037,12877,14075,14481,12676,10639,9937,11411,136927
Kodinsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Komsomolsk-on-Amur,2019,86,136,115,213,163,924,1305,1454,1304,1382,691,707,8480
Kondinskoye,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Kostroma,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotkin,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotlas,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Krasnodar (Paszkowski),2019,310912,269665,319319,360914,403364,425943,473843,489943,442423,410965,373861,389196,4670348
Krasnoselkup,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Krasnoyarsk,2019,174087,163385,201804,188057,192311,224826,246575,267016,227599,200533,193048,207204,2486445
Krasnoyarsk (Cheremshanka),2019,2512,2716,4655,4071,4528,5988,8348,7781,5457,4298,4805,5014,60173
Mound,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurilsk (Clear),2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Kursk (Eastern),2019,1179,1687,2037,2774,2557,3621,5129,4340,3739,3975,3645,3153,37836
red,2019,3957,3799,4359,4755,5032,5752,6534,6841,5609,5976,5934,5323,63871
Labozhskoe,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Zabaykalsk,2019,3255,3039,3833,4165,3802,4595,4692,4760,3718,4014,3880,3978,47731
Лешуконское,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipetsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Magadan (Falcon),2019,25081,23694,28325,29903,33532,41539,49507,46862,43689,39057,31985,35743,428917
Magnitogorsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Mom,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Manila,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
brand,2019,118,105,272,215,191,240,233,384,306,242,139,222,2667
Makhachkala (Uytash),2019,125034,104806,113625,115586,117348,131869,150645,156376,132037,128568,111515,126128,1513537
Mezhdurechensk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Mezen,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkovo,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Mineral water,2019,175830,155575,179483,191407,228967,228486,262486,268710,243432,233202,182557,213649,2563784
Peaceful,2019,26291,23646,27673,26630,28758,32399,39253,39226,32394,30270,27883,30402,364825
Moscow (Vnukovo),2019,1512315,1346307,1603303,1768231,2140594,2351071,2647005,2635114,2486300,2182880,1672030,2031377,24376527
Moscow (Domodedovo),2019,1853642,1600017,1991136,2118931,2501917,2682233,3044152,3159854,2798581,2468083,2033543,2386554,28638643
Moscow (Ostafyevo),2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Moscow (Sheremetyevo),2019,3553862,3270201,3791106,3931552,4064441,4561143,5157112,5216328,4587248,4255424,3526948,4174124,50089489
Мотыгино,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Murmansk,2019,77851,79519,79915,73623,80823,91226,99508,98506,89007,83548,80060,84871,1018457
